Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
11,Charizard,Normal,6,♂,2254,138,12,15,10,82.2,28.0,28.0,Air Slash,Overheat,,"2023-07-09 10:55 am","2023-07-09 10:55 am",21/6/2023,,,0,0,0,4500,,,,,,,,,61.39%,1582,96.29%,41000,36,Charizard,Normal,0,,,,,,,,,
12,Charmeleon,,5,♂,340,57,9,12,1,48.9,8.0,8.0,,,,"2023-07-09 10:54 am","2023-07-09 10:54 am",7/5/2023,,,0,1,0,961,41.15%,2411,94.64%,304338,360,Charmeleon,,1,18.34%,3345,94.63%,202338,324,Charizard,Normal,1,59.05%,1678,93.20%,8283,15,Charmeleon,,1,
13,Charmeleon,,5,♂,645,80,13,15,11,86.7,14.0,14.0,Ember,Flamethrower,,"2023-07-09 10:53 am","2023-07-09 10:53 am",4/7/2023,,,0,0,0,1600,90.11%,406,96.97%,17400,118,Charizard,Normal,0,51.31%,1995,95.92%,115600,204,Charizard,Normal,0,,,,,,,,,
14,Ivysaur,,2,♂,1301,119,1,14,8,51.1,30.0,30.0,Razor Leaf,Power Whip,Power Whip,"2023-07-09 10:37 am","2023-06-06 3:02 pm",2/6/2023,,,0,0,0,5000,95.51%,185,98.18%,130000,152,Ivysaur,,0,,,,,,,,,,,,,,,,,G
15,Venusaur,Normal,3,♂,2132,145,5,15,12,71.1,29.0,29.0,Razor Leaf,Sludge Bomb,,"2023-07-09 10:33 am","2023-07-09 10:33 am",2/2/2023,,,0,0,0,5000,,,,,,,,,97.19%,116,98.65%,122000,136,Venusaur,Normal,0,,,,,,,,,
16,Venusaur,Normal,3,♂,2316,144,13,14,4,68.9,32.0,32.0,Razor Leaf,Solar Beam,Sludge Bomb,"2023-07-09 10:30 am","2023-03-21 3:09 pm",24/1/2023,,,0,0,0,6000,,,,,,,,,19.83%,3284,94.70%,64000,74,Venusaur,Normal,0,,,,,,,,,
17,Ivysaur,,2,♂,796,92,4,13,9,57.8,18.0,18.0,Razor Leaf,Solar Beam,,"2023-07-09 10:29 am","2023-06-26 12:53 pm",26/6/2023,,,0,0,0,2200,,,,,,,,,91.11%,365,98.00%,214400,326,Venusaur,Normal,0,,,,,,,,,U
18,Ivysaur,,2,♂,1351,115,8,15,2,55.6,30.5,30.5,,,,"2023-07-09 10:28 am","2023-07-09 10:28 am",1/3/2023,,,0,0,0,5000,58.07%,1718,95.62%,89000,100,Ivysaur,,0,57.44%,1744,96.34%,116000,236,Venusaur,Normal,0,,,,,,,,,
19,Bulbasaur,,1,♂,684,92,4,10,14,62.2,24.0,24.0,,,,"2023-07-09 10:28 am","2023-07-09 10:28 am",4/7/2023,,,0,0,0,3500,82.30%,726,96.98%,145000,173,Ivysaur,,0,86.67%,547,97.69%,172000,309,Venusaur,Normal,0,,,,,,,,,
20,Bulbasaur,,1,♂,580,80,3,14,3,44.4,21.0,21.0,Tackle,Sludge Bomb,,"2023-07-09 10:26 am","2023-07-06 12:26 pm",6/7/2023,,,0,0,0,3000,91.26%,359,97.39%,0,125,Venusaur,Normal,0,92.63%,303,98.12%,230000,369,Venusaur,Normal,0,,,,,,,,,
21,Mudkip,,258,♂,44,23,2,15,6,51.1,2.0,2.0,,,,"2023-07-08 6:59 pm","2023-07-08 6:59 pm",8/7/2023,,,0,0,0,200,97.56%,101,98.41%,189600,219,Marshtomp,,0,92.01%,328,98.09%,160600,285,Swampert,Normal,0,93.68%,260,96.43%,33000,44,Mudkip,,0,
22,Swampert,Normal,260,♂,1296,128,0,14,12,57.8,16.5,16.5,Mud Shot,Muddy Water,Sludge Wave,"2023-07-08 5:10 pm","2023-07-08 5:10 pm",8/7/2023,,,0,0,0,1900,99.80%,9,99.28%,10700,10,Swampert,Normal,0,,,,,,,,,,,,,,,,,G
23,Torracat,,726,♂,1290,127,0,13,14,60.0,29.0,29.0,Bite,Flamethrower,,"2023-07-08 3:15 pm","2023-03-21 6:50 pm",21/3/2023,,,0,0,0,5000,97.61%,99,98.31%,104000,112,Torracat,,0,,,,,,,,,,,,,,,,,G
24,Hariyama,,297,♂,2148,221,5,15,11,68.9,28.0,28.0,Counter,Superpower,,"2023-07-08 3:14 pm","2023-06-28 11:35 am",28/6/2023,,,0,0,0,4500,,,,,,,,,95.41%,189,98.30%,81000,80,Hariyama,,0,,,,,,,,,
25,Stunfisk,Normal,618,♂,1067,139,5,15,0,44.4,19.0,19.0,,,,"2023-07-07 2:02 pm","2023-07-02 1:06 am",1/7/2023,,,0,0,0,2500,76.97%,944,96.22%,48000,42,Stunfisk,Normal,0,44.49%,2274,88.02%,480000,252,Stunfisk,Normal,0,,,,,,,,,
26,Charmander,,4,♂,746,91,4,15,7,57.8,30.0,30.0,,,,"2023-07-07 10:54 am","2023-07-06 10:33 pm",6/7/2023,,,0,0,0,5000,92.41%,312,97.75%,140000,192,Charmeleon,,0,86.74%,544,97.43%,55000,181,Charizard,Normal,0,,,,,,,,,
27,Hoothoot,,163,♂,302,92,6,14,8,62.2,18.0,18.0,,,,"2023-07-06 5:03 am","2023-07-06 5:03 am",6/7/2023,,,0,0,0,2200,55.31%,1831,95.13%,60900,104,Noctowl,,0,74.02%,1065,91.02%,484400,306,Noctowl,,0,68.64%,1285,93.15%,79400,70,Hoothoot,,0,
28,Vigoroth,,288,♀,705,100,0,12,11,51.1,14.0,14.0,,,,"2023-07-03 9:01 pm","2023-07-03 9:01 pm",3/7/2023,,,0,0,0,1600,94.58%,223,97.84%,94600,86,Vigoroth,,0,,,,,,,,,,,,,,,,,G
29,Ralts,,280,♀,185,53,9,15,12,80.0,13.0,13.0,,,,"2023-07-01 7:05 pm","2023-07-01 7:05 pm",1/7/2023,,,0,1,0,1921,97.07%,121,98.00%,19444,152,Gardevoir,Normal,1,77.75%,912,97.21%,111368,243,Gardevoir,Normal,1,83.81%,664,93.36%,303372,354,Ralts,,1,
30,Rapidash,Galarian,78,♂,1470,107,12,14,11,82.2,21.5,21.5,Psycho Cut,Play Rough,Psychic,"2023-07-01 12:18 pm","2023-04-06 8:41 pm",5/4/2023,,,0,0,0,3000,23.96%,3115,93.35%,0,0,Rapidash,Galarian,0,73.26%,1096,96.64%,293000,241,Rapidash,Galarian,0,,,,,,,,,
31,Sableye,Normal,302,♀,940,93,4,15,3,48.9,25.0,25.0,,,,"2023-06-30 2:24 am","2023-06-30 2:24 am",4/1/2023,,,0,2,0,3600,81.88%,743,95.30%,399600,210,Sableye,Normal,2,46.96%,2173,85.63%,399600,210,Sableye,Normal,2,,,,,,,,,
32,Scraggy,,559,♀,568,78,12,12,14,84.4,15.0,15.0,Rock Smash,Acid Spray,,"2023-06-30 2:17 am","2023-06-30 2:17 am",30/6/2023,,,0,0,0,1900,,,,,,,,,99.51%,21,99.19%,481400,318,Scrafty,,0,,,,,,,,,U
33,Zigzagoon,Galarian,263,♀,366,95,4,14,14,71.1,30.0,30.0,,,,"2023-06-30 2:15 am","2023-06-30 2:15 am",13/6/2023,,,0,0,0,5000,91.58%,346,97.30%,112000,153,Linoone,Galarian,0,93.97%,248,98.10%,150000,307,Obstagoon,,0,96.97%,125,96.49%,400000,182,Zigzagoon,Galarian,0,
34,Zigzagoon,Galarian,263,♀,199,65,14,14,15,95.6,14.0,14.0,,,,"2023-06-30 2:14 am","2023-06-30 2:14 am",29/6/2023,,,0,0,0,1600,47.64%,2145,94.58%,140600,155,Linoone,Galarian,0,38.63%,2514,95.34%,177600,299,Obstagoon,,0,85.32%,602,93.66%,249600,272,Zigzagoon,Galarian,0,
35,Incineroar,,727,♂,1759,138,15,11,10,80.0,21.0,21.0,Double Kick,Fire Blast,,"2023-06-30 2:08 am","2023-06-30 2:08 am",28/11/2022,,,0,0,0,3000,,,,,,,,,4.74%,3902,93.72%,65000,58,Incineroar,,0,,,,,,,,,
36,Litten,,725,♂,759,95,7,15,7,64.4,28.0,28.0,,,,"2023-06-30 2:06 am","2023-06-30 2:06 am",29/6/2023,,,0,0,0,4500,80.17%,813,96.46%,89000,115,Torracat,,0,86.06%,572,97.48%,35000,155,Incineroar,,0,,,,,,,,,
37,Wingull,,278,♀,615,100,6,12,15,73.3,32.0,32.0,,,,"2023-06-29 2:21 pm","2023-06-29 2:21 pm",29/6/2023,,,0,0,0,6000,,,,,,,,,89.87%,416,93.75%,378000,212,Pelipper,,0,,,,,,,,,U
38,Heatran,,485,♂,2126,133,15,11,15,91.1,20.0,20.0,Bug Bite,Magma Storm,,"2023-06-29 9:48 am","2023-06-29 9:48 am",29/6/2023,,,0,0,0,2500,,,,,,,,,84.03%,655,97.07%,20500,19,Heatran,,0,,,,,,,,,
39,Mudkip,,258,♂,485,78,9,15,10,75.6,16.0,16.0,,,,"2023-06-29 9:47 am","2023-06-29 9:47 am",29/6/2023,,,0,0,0,1900,78.71%,873,96.57%,114600,127,Marshtomp,,0,80.46%,801,97.37%,102600,215,Swampert,Normal,0,90.53%,389,95.90%,1900,2,Mudkip,,0,
40,Dugtrio,Alola,51,♀,594,51,13,8,1,48.9,12.0,12.0,Mud-Slap,Earthquake,,"2023-06-29 7:25 am","2023-06-29 7:25 am",1/6/2023,,,0,0,0,1300,16.56%,3418,93.20%,110400,102,Dugtrio,Alola,0,35.56%,2640,84.74%,505400,280,Dugtrio,Alola,0,,,,,,,,,
41,Haxorus,,612,♂,2702,137,7,6,11,53.3,28.0,28.0,Counter,Earthquake,,"2023-06-29 7:23 am","2023-06-29 7:23 am",10/6/2023,,,0,0,0,4500,,,,,,,,,,,,,,,,,,,,,,,,,
42,Vigoroth,,288,♀,920,115,3,9,13,55.6,18.0,18.0,,,,"2023-06-28 10:19 pm","2023-06-28 10:19 pm",28/6/2023,,,0,0,0,2200,82.44%,720,96.79%,74400,66,Vigoroth,,0,42.39%,2360,95.38%,11900,110,Slaking,,0,,,,,,,,,
43,Magnemite,,81,,211,34,6,14,14,75.6,6.0,6.0,,,,"2023-06-28 5:38 pm","2023-06-28 4:59 pm",1/6/2023,,,0,0,0,600,97.83%,90,98.13%,27600,159,Magnezone,,0,67.30%,1340,96.33%,97400,221,Magnezone,,0,95.09%,202,96.74%,15200,20,Magnemite,,0,
44,Charmander,,4,♂,327,61,0,10,6,35.6,14.0,14.0,,,,"2023-06-28 12:02 pm","2023-06-28 12:02 pm",28/6/2023,,,0,0,0,1600,92.94%,290,97.28%,24600,149,Charizard,Normal,0,95.12%,201,98.10%,193600,319,Charizard,Normal,0,74.33%,1052,93.94%,29600,28,Charmander,,0,
45,Bulbasaur,,1,♂,588,83,7,14,11,71.1,20.0,20.0,,,,"2023-06-28 12:01 pm","2023-06-28 12:01 pm",28/6/2023,,,0,0,0,2500,74.53%,1044,96.20%,0,125,Venusaur,Normal,0,76.24%,974,97.15%,178000,307,Venusaur,Normal,0,,,,,,,,,
46,Espeon,,196,♂,307,45,0,7,15,48.9,4.0,4.0,,,,"2023-06-28 11:59 am","2023-06-28 11:59 am",28/6/2023,,,0,0,0,400,73.02%,1106,95.79%,31800,40,Espeon,,0,92.97%,289,97.83%,113400,112,Espeon,,0,83.44%,679,94.70%,2000,4,Espeon,,0,
47,Eevee,,133,♂,490,87,0,15,4,42.2,19.0,19.0,,,,"2023-06-28 8:57 am","2023-06-28 8:57 am",28/6/2023,,,0,0,0,2500,96.53%,143,98.02%,61000,79,Umbreon,,0,96.39%,149,98.22%,80000,95,Espeon,,0,88.67%,465,95.78%,0,0,Eevee,,0,
48,Ducklett,,580,♂,310,82,13,15,13,91.1,13.0,13.0,,,,"2023-06-27 9:54 pm","2023-06-27 9:54 pm",27/6/2023,,,0,1,0,1600,77.70%,914,96.20%,75368,134,Swanna,,1,99.66%,15,98.38%,603372,404,Swanna,,1,61.17%,1591,92.99%,39364,48,Ducklett,,1,
49,Doduo,,84,♀,179,38,5,12,9,57.8,6.0,6.0,,,,"2023-06-27 6:07 pm","2023-06-27 6:07 pm",27/6/2023,,,0,0,0,600,69.52%,1249,95.65%,61900,115,Dodrio,,0,88.16%,486,96.78%,516400,344,Dodrio,,0,93.94%,249,96.37%,23800,30,Doduo,,0,
50,Combee,,415,♂,173,57,1,13,5,42.2,16.0,16.0,,,,"2023-06-27 1:10 pm","2023-06-27 1:10 pm",27/6/2023,,,0,0,0,1900,25.42%,3055,72.13%,492600,264,Combee,,0,25.42%,3055,72.13%,492600,264,Combee,,0,25.42%,3055,80.88%,492600,264,Combee,,0,
51,Bulbasaur,,1,♂,224,51,5,13,8,57.8,8.0,8.0,,,,"2023-06-27 12:59 pm","2023-06-27 12:59 pm",27/6/2023,,,0,0,0,800,84.84%,622,97.18%,216600,249,Ivysaur,,0,89.18%,444,97.85%,243600,385,Venusaur,Normal,0,95.04%,204,96.65%,27000,32,Bulbasaur,,0,
52,Torchic,,255,♂,794,97,1,14,8,51.1,29.0,29.0,,,,"2023-06-27 9:05 am","2023-06-27 9:05 am",27/6/2023,,,0,0,0,5000,,,,,,,,,90.57%,387,97.65%,88000,217,Blaziken,Normal,0,,,,,,,,,U
53,Magnemite,,81,,1019,72,3,15,8,57.8,29.0,29.0,,,,"2023-06-27 9:05 am","2023-06-27 9:05 am",27/6/2023,,,0,0,0,5000,68.28%,1300,89.58%,410000,190,Magnemite,,0,90.35%,396,97.48%,0,125,Magnezone,,0,,,,,,,,,
54,Umbreon,,197,♂,1498,156,0,15,6,46.7,28.0,28.0,Feint Attack,Dark Pulse,Foul Play,"2023-06-27 8:55 am","2023-06-27 8:55 am",27/6/2023,,,0,0,0,1000,98.85%,48,98.66%,0,0,Umbreon,,0,23.64%,3128,85.68%,419000,198,Umbreon,,0,,,,,,,,,
55,Cacnea,,331,♀,497,78,7,12,14,73.3,15.0,15.0,,,,"2023-06-26 4:29 pm","2023-06-26 4:29 pm",22/3/2023,,,0,1,0,1900,96.65%,138,97.88%,54484,110,Cacturne,,1,96.26%,154,97.50%,595688,392,Cacturne,,1,95.58%,182,96.47%,0,0,Cacnea,,1,
56,Cacnea,,331,♂,243,51,2,13,1,35.6,8.0,8.0,,,,"2023-06-26 4:29 pm","2023-06-26 4:29 pm",2/6/2023,,,0,1,0,800,66.67%,1366,95.52%,83534,154,Cacturne,,1,38.46%,2521,89.33%,616338,428,Cacturne,,1,79.95%,822,94.44%,25210,42,Cacnea,,1,
57,Aerodactyl,Normal,142,♂,990,93,12,14,4,66.7,13.0,13.0,,,,"2023-06-26 4:25 pm","2023-06-26 4:25 pm",25/6/2023,,,0,1,0,1600,47.52%,2150,95.07%,30364,39,Aerodactyl,Normal,1,45.59%,2229,95.78%,207372,222,Aerodactyl,Normal,1,,,,,,,,,
58,Aerodactyl,Normal,142,♂,1165,105,12,13,13,84.4,15.0,15.0,,,,"2023-06-26 4:25 pm","2023-06-26 4:25 pm",12/6/2023,,,0,0,0,1900,53.38%,1910,95.33%,16400,16,Aerodactyl,Normal,0,56.43%,1785,96.19%,144400,134,Aerodactyl,Normal,0,,,,,,,,,
59,Weezing,Galarian,110,♀,1274,103,12,15,11,84.4,20.0,20.0,Tackle,Hyper Beam,,"2023-06-26 4:10 pm","2023-06-26 4:10 pm",26/6/2023,,,0,0,0,2500,74.07%,1063,95.82%,20500,19,Weezing,Galarian,0,97.46%,105,98.27%,445000,248,Weezing,Galarian,0,,,,,,,,,
60,Regice,,378,,2145,134,9,15,12,80.0,25.0,25.0,Rock Smash,Blizzard,,"2023-06-26 3:23 pm","2023-06-26 3:23 pm",1/4/2023,,,0,0,0,4000,,,,,,,,,70.38%,1214,96.79%,34000,30,Regice,,0,,,,,,,,,
61,Regirock,,377,,687,76,13,8,14,77.8,8.0,8.0,Rock Smash,Focus Blast,,"2023-06-26 3:23 pm","2023-06-26 3:23 pm",25/6/2023,,,0,0,0,800,42.69%,2348,94.57%,24800,30,Regirock,,0,35.31%,2650,95.05%,99100,96,Regirock,,0,,,,,,,,,
62,Lumineon,,457,♀,324,64,2,15,15,71.1,7.0,7.0,,,,"2023-06-26 2:59 pm","2023-06-26 2:59 pm",9/6/2023,,,0,0,0,800,99.32%,29,99.05%,149200,142,Lumineon,,0,82.66%,711,91.72%,515200,292,Lumineon,,0,100.00%,1,100%,6200,7,Lumineon,,0,
63,Delphox,,655,♂,970,90,0,9,15,53.3,12.0,12.0,,,,"2023-06-26 2:52 pm","2023-06-26 2:52 pm",21/5/2023,,,0,0,0,1300,99.41%,25,99.00%,23200,26,Delphox,,0,98.14%,77,98.92%,121400,112,Delphox,,0,,,,,,,,,
64,Delphox,,655,♂,1304,100,15,15,13,95.6,15.0,15.0,Zen Headbutt,Blast Burn,Fire Blast,"2023-06-26 2:49 pm","2023-06-26 2:49 pm",21/5/2023,,,0,0,0,1900,41.66%,2390,94.50%,7600,8,Delphox,,0,40.83%,2424,95.76%,81900,74,Delphox,,0,,,,,,,,,
65,Delphox,,655,♂,1299,100,14,14,14,93.3,15.0,15.0,Fire Spin,Blast Burn,,"2023-06-26 2:48 pm","2023-06-26 2:48 pm",21/5/2023,,,0,0,0,1900,42.56%,2353,94.53%,7600,8,Delphox,,0,36.78%,2590,95.59%,81900,74,Delphox,,0,,,,,,,,,
66,Slakoth,,287,♀,354,81,4,14,8,57.8,14.0,14.0,,,,"2023-06-26 12:53 pm","2023-06-26 9:25 am",26/6/2023,,,0,0,0,1600,94.04%,245,97.79%,89600,107,Vigoroth,,0,76.51%,963,96.79%,27100,151,Slaking,,0,88.18%,485,95.34%,22100,22,Slakoth,,0,
67,Houndour,,228,♂,674,86,2,14,13,64.4,21.0,21.0,,,,"2023-06-25 8:50 pm","2023-06-25 8:50 pm",25/5/2023,,,0,0,0,3000,93.85%,253,97.52%,0,50,Houndoom,Normal,0,,,,,,,,,,,,,,,,,G
68,Slurpuff,,685,♀,1123,119,5,15,13,73.3,19.0,19.0,,,,"2023-06-25 8:48 pm","2023-06-25 8:48 pm",17/6/2023,,,0,0,0,2500,79.10%,857,96.18%,36000,32,Slurpuff,,0,90.92%,373,93.99%,480000,252,Slurpuff,,0,,,,,,,,,
69,Mantine,,226,♂,1440,117,4,15,10,64.4,26.0,26.0,,,,"2023-06-25 8:48 pm","2023-06-25 8:48 pm",8/6/2023,,,0,0,0,4000,97.17%,117,98.38%,8000,8,Mantine,,0,70.23%,1220,90.75%,436000,214,Mantine,,0,,,,,,,,,
70,Solrock,,338,,1442,142,4,15,15,75.6,23.0,23.0,,,,"2023-06-25 8:48 pm","2023-06-25 8:48 pm",21/6/2023,,,0,0,0,3500,80.20%,812,96.06%,3500,3,Solrock,,0,99.88%,6,99.45%,458000,232,Solrock,,0,,,,,,,,,
71,Tentacruel,,73,♂,1500,126,1,12,1,31.1,24.5,24.5,Poison Jab,Scald,Acid Spray,"2023-06-25 8:47 pm","2023-06-12 6:26 pm",12/6/2023,,,0,0,0,3500,96.56%,142,98.18%,0,0,Tentacruel,,0,,,,,,,,,,,,,,,,,G
72,Sceptile,Normal,254,♂,1575,111,15,15,15,100.0,20.0,20.0,Bullet Seed,Dragon Claw,,"2023-06-24 11:10 pm","2023-03-21 2:23 pm",18/3/2023,,,0,0,0,2500,,,,,,,,,51.58%,1984,96.14%,109000,98,Sceptile,Normal,0,,,,,,,,,
73,Haxorus,,612,♂,2912,141,10,14,14,84.4,29.0,29.0,Dragon Tail,Breaking Swipe,,"2023-06-24 9:38 pm","2023-06-24 9:38 pm",10/6/2023,,,0,0,0,5000,,,,,,,,,,,,,,,,,,,,,,,,,
74,Lunatone,,337,,1100,125,0,14,15,64.4,18.0,18.0,Confusion,Moonblast,,"2023-06-24 9:37 pm","2023-06-24 9:37 pm",24/6/2023,,,0,0,0,2200,99.98%,2,99.40%,36900,33,Lunatone,,0,85.05%,613,96.69%,484400,256,Lunatone,,0,,,,,,,,,
75,Salazzle,,758,♀,1378,109,11,12,15,83.7,20.0,20.0,Incinerate,Poison Fang,,"2023-06-24 7:18 pm","2023-06-24 7:18 pm",,19.25kg,1.01m,0,0,0,2500,57.70%,868,96.49%,8000,7,Salazzle,,0,57.99%,1002,96.64%,278000,248,Salazzle,,0,,,,,,,,,
76,Lunatone,,337,,732,102,0,14,14,62.2,12.0,12.0,,,,"2023-06-23 10:07 pm","2023-06-23 10:07 pm",23/6/2023,,,0,0,0,1300,99.98%,2,99.40%,57900,57,Lunatone,,0,78.71%,873,96.17%,505400,280,Lunatone,,0,,,,,,,,,
77,Whismur,,293,♂,113,61,2,13,15,66.7,7.0,7.0,,,,"2023-06-23 3:05 pm","2023-06-17 5:27 pm",17/6/2023,,,0,0,0,800,98.53%,61,98.36%,64200,128,Exploud,,0,95.73%,176,98.08%,515200,354,Exploud,,0,99.44%,24,98.54%,120200,114,Whismur,,0,
78,Machop,,66,♀,698,109,10,15,11,80.0,20.0,20.0,,,,"2023-06-23 2:29 pm","2023-06-20 10:17 am",26/5/2023,,,0,0,0,2500,67.37%,1337,95.82%,43000,63,Machoke,,0,27.08%,2987,94.89%,65000,183,Machamp,,0,,,,,,,,,
79,Stunfisk,Galarian,618,♂,1485,173,3,15,15,73.3,26.0,26.0,Mud Shot,Earthquake,Rock Slide,"2023-06-23 9:32 am","2023-06-23 9:32 am",23/6/2023,,,0,0,0,1900,94.24%,237,97.66%,0,0,Stunfisk,Galarian,0,82.27%,727,92.45%,436000,214,Stunfisk,Galarian,0,,,,,,,,,
80,Axew,,610,♀,569,75,13,11,15,86.7,15.0,15.0,,,,"2023-06-22 7:36 pm","2023-06-22 7:36 pm",10/6/2023,,,0,0,0,1900,75.38%,1009,96.01%,45400,67,Fraxure,,0,47.25%,2161,95.77%,48900,170,Haxorus,,0,,,,,,,,,
81,Axew,,610,♂,755,83,6,15,7,62.2,21.0,21.0,,,,"2023-06-22 7:21 pm","2023-06-22 7:21 pm",10/6/2023,,,0,0,0,3000,91.87%,334,97.23%,26000,49,Fraxure,,0,92.26%,318,97.93%,30000,152,Haxorus,,0,,,,,,,,,
82,Axew,,610,♀,1024,102,3,11,12,57.8,29.0,29.0,,,,"2023-06-22 7:21 pm","2023-05-13 10:54 pm",8/5/2023,,,0,0,0,5000,72.50%,1127,90.90%,410000,190,Axew,,0,72.21%,1139,91.35%,410000,215,Fraxure,,0,,,,,,,,,
83,Lunatone,,337,,1483,142,4,14,10,62.2,24.0,24.0,,,,"2023-06-22 6:37 pm","2023-06-22 6:37 pm",22/6/2023,,,0,0,0,3500,90.35%,396,96.84%,0,0,Lunatone,,0,85.79%,583,96.74%,451000,226,Lunatone,,0,,,,,,,,,
84,Ledian,,166,♂,1212,120,15,15,15,100.0,33.0,33.0,Struggle Bug,Dynamic Punch,Silver Wind,"2023-06-21 7:02 pm","2023-06-21 7:02 pm",20/6/2023,,,0,0,0,7000,99.78%,10,99.12%,322000,150,Ledian,,0,100.00%,1,100%,366000,150,Ledian,,0,,,,,,,,,
85,Blitzle,,522,♂,176,51,3,14,9,57.8,8.0,8.0,,,,"2023-06-21 7:59 am","2023-06-21 7:59 am",21/6/2023,,,0,1,0,961,86.01%,574,97.00%,66734,138,Zebstrika,,1,91.94%,331,97.75%,546738,428,Zebstrika,,1,81.27%,768,94.54%,59532,80,Blitzle,,1,
